Crypto,Date,Price,Open,High,Low,Vol.,ChangeP
Bitcoin,19-Apr-21,55646.1,56208.1,57517,54272.3,117.51K,-1.00%
Bitcoin,18-Apr-21,56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%
Bitcoin,17-Apr-21,60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%
Bitcoin,16-Apr-21,61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%
Bitcoin,15-Apr-21,63216,62978.6,63729.1,62067.5,76.97K,0.37%
Bitcoin,14-Apr-21,62980.4,63544.2,64778,61366.3,130.43K,-0.88%
Bitcoin,13-Apr-21,63540.9,59863.6,63659,59839.4,126.56K,6.14%
Bitcoin,12-Apr-21,59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%
Bitcoin,11-Apr-21,59978.7,59772.4,60667.1,59250.3,58.20K,0.39%
Bitcoin,10-Apr-21,59748.4,58127.4,61229,57900,103.72K,2.80%
Bitcoin,09-Apr-21,58118.7,58076.8,58890.9,57686,59.22K,0.07%
Bitcoin,08-Apr-21,58077.4,55948,58136.7,55721.6,64.78K,3.80%
Bitcoin,07-Apr-21,55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%
Bitcoin,06-Apr-21,57996.3,59169,59487,57403.3,77.15K,-1.69%
Bitcoin,05-Apr-21,58993.4,58202.3,59205.1,56842.7,54.13K,1.36%
Bitcoin,04-Apr-21,58199.9,57059.7,58464.8,56470.6,57.21K,2.00%
Bitcoin,03-Apr-21,57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%
Bitcoin,02-Apr-21,58977.3,58718.2,60134.9,58466.5,72.37K,0.44%
Bitcoin,01-Apr-21,58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%
Bitcoin,31-Mar-21,58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%
Bitcoin,30-Mar-21,58771.3,57614.6,59366.9,57077.1,86.21K,2.00%
Bitcoin,29-Mar-21,57616.2,55764.7,58392.6,54951.1,107.91K,3.32%
Bitcoin,28-Mar-21,55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%
Bitcoin,27-Mar-21,55862.9,55033.8,56531.1,54010.2,73.87K,1.50%
Bitcoin,26-Mar-21,55036.1,51317.4,55074.1,51302,100.30K,7.24%
Bitcoin,25-Mar-21,51322.3,52330,53175.4,50441.3,143.35K,-1.92%
Bitcoin,24-Mar-21,52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%
Bitcoin,23-Mar-21,54452.5,54117.5,55813.8,52992.3,84.84K,0.54%
Bitcoin,22-Mar-21,54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%
Bitcoin,21-Mar-21,57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%
Bitcoin,20-Mar-21,58093.4,58084.1,59882.1,57863,67.83K,0.01%
Bitcoin,19-Mar-21,58088,57645,59448.3,56305.1,83.98K,0.75%
Bitcoin,18-Mar-21,57656,58911.8,60088,57099.6,102.62K,-2.13%
Bitcoin,17-Mar-21,58913.5,56892.9,58933.2,54253.2,118.26K,3.56%
