Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/20/21,11:00:00,Binance,369.7,375,360.91,373.83,199480.4633,-8.93,1.117
5/20/21,10:00:00,Binance,364.8,370.12,356.47,369.7,219047.1255,-13.8,1.345
5/20/21,9:00:00,Binance,367.63,368.79,351.43,364.79,254164.7099,0.768,-0.75
5/20/21,8:00:00,Binance,370.69,376,356.93,367.56,252227.4231,-23.4,-0.84
5/20/21,7:00:00,Binance,358.47,381.26,358.25,370.7,329658.0873,20.59,3.426
5/20/21,6:00:00,Binance,365.09,368,350.3,358.42,273356.3147,9.873,-1.84
5/20/21,5:00:00,Binance,353.34,365.17,351.35,365.17,248791.3607,-26,3.348
5/20/21,4:00:00,Binance,341.53,356.7,338.86,353.34,336246.9894,5.18,3.457
5/20/21,3:00:00,Binance,338.09,346.53,330.49,341.53,319684.6064,-28.5,0.99
5/20/21,2:00:00,Binance,312.18,340.05,310.13,338.18,447571.9146,-43.9,8.328
5/20/21,1:00:00,Binance,302.75,316.64,284.27,312.18,798622.5566,-17,3.155
5/20/21,0:00:00,Binance,334.8,354.22,290,302.63,962478.2974,125.4,-9.6
5/19/21,23:00:00,Binance,380.11,383,333.94,334.8,426980.2013,115.8,-11.9
5/19/21,22:00:00,Binance,373.21,388.06,364.16,380.26,197794.479,-11.4,1.889
5/19/21,21:00:00,Binance,370.78,377.39,355.12,373.21,223375.8171,-1.04,0.696
5/19/21,20:00:00,Binance,384.61,394.29,369.07,370.63,225739.93,-27.7,-3.6
5/19/21,19:00:00,Binance,369.65,389.54,366.14,384.5,312254.4477,-18.2,4.008
5/19/21,18:00:00,Binance,393.49,398.33,363.48,369.68,381737.0347,-18.8,-5.97
5/19/21,17:00:00,Binance,397.96,414.2,387.74,393.19,470519.3901,-27,-1.05
5/19/21,16:00:00,Binance,379.14,400,356.2,397.39,645261.4937,-11.4,4.863
5/19/21,15:00:00,Binance,358.87,383.71,343.43,378.96,728607.8966,-2.72,5.562
5/19/21,14:00:00,Binance,352.34,359,318.01,358.99,749036.7823,-24.7,1.887
5/19/21,13:00:00,Binance,335.5,374,280,352.34,995249.0591,-10.3,5.019
5/19/21,12:00:00,Binance,394.5,408.68,280.88,335.5,1109787.291,19.44,-14.9
5/19/21,11:00:00,Binance,425.6,427.76,360,394.52,929105.8578,228.4,-7.26
5/19/21,10:00:00,Binance,435.44,437.16,416.01,425.42,282901.0658,98.48,-2.29
5/19/21,9:00:00,Binance,437.94,443,430,435.43,142532.1806,-37.8,-0.57
